Item,Area,Year,AreaHarvested,Production,Yield,Price,ExportQuantity,ExportValue,ImportQuantity,ImportValue,RuralPopulation,UrbanPopulation,TotalPopulation,GrossNationalIncome
Corn,BruneiDarussalam,1961,,,,,,,800,70,47,39,90,
Corn,BruneiDarussalam,1962,,,,,,,800,60,47,42,94,
Corn,BruneiDarussalam,1963,,,,,,,800,60,48,46,98,
Corn,BruneiDarussalam,1964,,,,,,,700,50,48,50,103,
Corn,BruneiDarussalam,1965,,,,,,,700,50,49,54,108,
Corn,BruneiDarussalam,1966,,,,,,,1526,124,49,58,113,
Corn,BruneiDarussalam,1967,,,,,,,1812,151,49,63,118,
Corn,BruneiDarussalam,1968,,,,,,,23,2,49,69,123,
Corn,BruneiDarussalam,1969,,,,,,,1880,144,50,74,128,
Corn,BruneiDarussalam,1970,,,,,,,95,9,50,80,133,1687
Corn,BruneiDarussalam,1971,,,,,,,1956,170,50,86,139,1789
Corn,BruneiDarussalam,1972,,,,,,,124,9,52,91,144,2364
Corn,BruneiDarussalam,1973,,,,,,,24,4,54,95,149,3649
Corn,BruneiDarussalam,1974,,,,,,,39,7,56,99,154,8738
Corn,BruneiDarussalam,1975,,,,,,,81,15,58,104,160,9191
Corn,BruneiDarussalam,1976,,,,,,,56,8,60,108,165,10828
Corn,BruneiDarussalam,1977,,,,,,,4,1,62,113,171,12760
Corn,BruneiDarussalam,1978,,,,,7,2,3091,512,64,117,176,13842
Corn,BruneiDarussalam,1979,,,,,59,13,3832,808,66,122,182,19354
Corn,BruneiDarussalam,1980,,,,,156,35,5574,1380,68,126,188,32942
Corn,BruneiDarussalam,1981,,,,,74,17,3252,745,70,130,194,28253
Corn,BruneiDarussalam,1982,,,,,16,4,2989,632,72,135,201,26695
Corn,BruneiDarussalam,1983,,,,,,,3580,751,73,139,208,23269
Corn,BruneiDarussalam,1984,,,,,54,10,6772,1337,75,143,215,22130
Corn,BruneiDarussalam,1985,,,,,23,5,10417,1558,77,148,222,19924
Corn,BruneiDarussalam,1986,,,,,22,11,8275,1039,79,152,230,11742
Corn,BruneiDarussalam,1987,,,,,,,7844,2554,81,157,238,13040
Corn,BruneiDarussalam,1988,,,,,,,11100,2000,83,162,246,12003
Corn,BruneiDarussalam,1989,,,,,,,10100,2200,85,167,254,13034
Corn,BruneiDarussalam,1990,9,3,3333,,,,8200,1500,87,172,262,14892
Corn,BruneiDarussalam,1991,14,5,3571,,,,9500,1800,89,177,270,15197
Corn,BruneiDarussalam,1992,11,4,3636,,,,8500,1300,90,184,277,16714
Corn,BruneiDarussalam,1993,20,7,3500,,,,6200,870,91,190,285,15979
Corn,BruneiDarussalam,1994,20,7,3488,,,,6400,1000,92,197,292,15514
Corn,BruneiDarussalam,1995,26,9,3462,1577,,,10357,1767,93,204,299,17538
Corn,BruneiDarussalam,1996,29,10,3448,1369,,,15580,3500,94,211,306,18512
Corn,BruneiDarussalam,1997,29,10,3472,1148,2,3,5000,1000,95,217,313,18384
Corn,BruneiDarussalam,1998,26,9,3462,902,,,8059,1582,95,224,320,14017
Corn,BruneiDarussalam,1999,30,11,3667,850,,,23000,3900,96,231,327,15583
Corn,BruneiDarussalam,2000,38,13,3421,858,,,6300,1200,96,237,334,19914
Corn,BruneiDarussalam,2001,38,13,3421,1125,,,12650,2500,96,244,341,18213
Corn,BruneiDarussalam,2002,41,14,3415,1170,,,2631,456,97,250,347,18634
Corn,BruneiDarussalam,2003,44,16,3636,1159,,,2264,320,97,256,354,20523
Corn,BruneiDarussalam,2004,49,17,3469,1139,20,2,2388,395,98,262,360,24199
Corn,BruneiDarussalam,2005,97,34,3505,1157,,,4559,900,98,267,367,28800
Corn,BruneiDarussalam,2006,85,30,3513,1224,,,626,8,98,272,373,34092
Corn,BruneiDarussalam,2007,100,35,3500,,,,145,58,98,277,379,35830
Corn,BruneiDarussalam,2008,92,32,3499,,,,392,143,98,282,385,41472
Corn,BruneiDarussalam,2009,99,35,3504,,,,1233,344,97,286,390,30469
Corn,BruneiDarussalam,2010,98,34,3503,,,,3635,1233,97,291,396,34356
Corn,BruneiDarussalam,2011,101,35,3502,,,,5401,2363,97,297,402,44898
Corn,BruneiDarussalam,2012,105,37,3501,,,,4401,1980,97,302,407,45720
Corn,BruneiDarussalam,2013,108,38,3499,,,1,5168,2346,97,308,412,43463
Corn,BruneiDarussalam,2014,113,39,3494,,0,1,14788,4370,97,314,417,40999
Corn,BruneiDarussalam,2015,120,42,3492,1891,0,,872,402,97,320,421,32225
Corn,BruneiDarussalam,2016,114,40,3495,2324,1,25,728,331,97,326,426,28722
Corn,BruneiDarussalam,2017,116,40,3492,2311,128,107,410,222,97,331,430,29861
Corn,BruneiDarussalam,2018,119,42,3494,3410,9,96,606,248,97,337,434,31434
Corn,BruneiDarussalam,2019,116,41,3494,3333,91,25,3128,1047,97,342,438,31573
Corn,BruneiDarussalam,2020,117,41,3493,2069,45,11,3908,1235,97,348,442,27998
Corn,BruneiDarussalam,2021,117,41,3494,3494,570,182,24400,9481,96,353,445,31650
Corn,BruneiDarussalam,2022,117,41,3494,2654,0,2,50999,17925,,,,
Corn,BruneiDarussalam,2023,,,,,,,,,,,,
Corn,Cambodia,1961,88080,174300,19789,,103600,5490,,,5268,605,5665,
Corn,Cambodia,1962,101069,151800,15019,,134400,7880,,,5406,623,5789,
Corn,Cambodia,1963,115000,183200,15930,,114900,6880,,,5535,649,5914,
Corn,Cambodia,1964,127000,203900,16055,,148500,8110,,,5656,675,6041,
Corn,Cambodia,1965,136500,139000,10183,,81600,5090,,,5767,700,6171,
Corn,Cambodia,1966,88900,135800,15276,,133324,8146,,,5860,724,6299,
Corn,Cambodia,1967,117000,149900,12812,,64849,4199,,,5877,809,6426,
Corn,Cambodia,1968,113100,154000,13616,,87625,4455,,,5878,901,6553,
Corn,Cambodia,1969,102200,117600,11507,,55339,3704,,,5876,1003,6680,
Corn,Cambodia,1970,86200,137000,15893,,33485,1934,,,5878,1117,6709,108
Corn,Cambodia,1971,94200,121700,12919,,14503,808,,,5802,1336,6696,108
Corn,Cambodia,1972,56200,79600,14164,,,,,,5707,1593,6766,105
Corn,Cambodia,1973,62600,72700,11613,,,,1318,210,5566,1881,6852,89
Corn,Cambodia,1974,60000,70000,11667,,,,2121,441,5343,2188,6913,91
Corn,Cambodia,1975,55000,65000,11818,,,,,,7186,337,6728,101
Corn,Cambodia,1976,55000,75000,13636,,,,,,7046,357,6307,113
Corn,Cambodia,1977,62000,80000,12903,,,,,,6821,373,6040,107
Corn,Cambodia,1978,65000,80000,12308,,,,,,6568,388,5961,116
