Item,Area,Year,AreaHarvested,Production,Yield,Price,ExportQuantity,ExportValue,ImportQuantity,ImportValue,RuralPopulation,UrbanPopulation,TotalPopulation,GrossNationalIncome
Rice,BruneiDarussalam,1961,2836.00,4908.00,17306.00,,,,5892.00,801.00,46.88,38.71,89.56,
Rice,BruneiDarussalam,1962,2831.00,5245.00,18527.00,,,,5579.00,859.00,47.38,42.14,93.84,
Rice,BruneiDarussalam,1963,2821.00,3868.00,13711.00,,3.00,1.00,6997.00,965.00,47.80,45.78,98.28,
Rice,BruneiDarussalam,1964,2600.00,3441.00,13235.00,,,,9011.00,1280.00,48.17,49.68,102.90,
Rice,BruneiDarussalam,1965,2510.00,2946.00,11737.00,,,,7081.00,1055.00,48.52,53.90,107.69,
Rice,BruneiDarussalam,1966,2448.00,3408.00,13922.00,,,,9082.00,1618.00,48.86,58.45,112.60,
Rice,BruneiDarussalam,1967,3480.00,5523.00,15871.00,,,,9505.00,2068.00,49.16,63.34,117.63,
Rice,BruneiDarussalam,1968,3480.00,5522.00,15868.00,,74.00,71.00,11025.00,2535.00,49.40,68.55,122.76,
Rice,BruneiDarussalam,1969,3650.00,6782.00,18581.00,,,,11102.00,2070.00,49.58,74.08,128.01,
Rice,BruneiDarussalam,1970,3456.00,6781.00,19621.00,,,,10883.00,1619.00,49.66,79.92,133.34,1686.78
Rice,BruneiDarussalam,1971,2734.00,4381.00,16024.00,,291.00,84.00,9202.00,1143.00,49.66,86.07,138.67,1789.11
Rice,BruneiDarussalam,1972,2473.00,4000.00,16175.00,,252.00,71.00,10125.00,1460.00,51.52,90.55,143.89,2364.01
Rice,BruneiDarussalam,1973,2522.00,6116.00,24251.00,,131.00,45.00,13709.00,4783.00,53.65,94.91,149.07,3649.15
Rice,BruneiDarussalam,1974,3363.00,9766.00,29040.00,,28.00,10.00,11606.00,6080.00,55.78,99.33,154.31,8738.11
Rice,BruneiDarussalam,1975,3636.00,9882.00,27178.00,,,,10574.00,3960.00,57.89,103.78,159.65,9190.99
Rice,BruneiDarussalam,1976,3680.00,7230.00,19647.00,,,,10750.00,2669.00,59.98,108.24,165.06,10827.98
Rice,BruneiDarussalam,1977,2833.00,4259.00,15034.00,,,,16279.00,3872.00,62.05,112.72,170.56,12759.54
Rice,BruneiDarussalam,1978,2410.00,3836.00,15917.00,,27.00,11.00,16024.00,4856.00,64.08,117.18,176.18,13842.09
Rice,BruneiDarussalam,1979,2121.00,4615.00,21759.00,,39.00,15.00,13444.00,4437.00,66.06,121.60,181.95,19354.47
Rice,BruneiDarussalam,1980,1991.00,2747.00,13797.00,,,,15914.00,7595.00,67.98,125.97,187.92,32941.99
Rice,BruneiDarussalam,1981,1828.00,2494.00,13643.00,,3.00,,21080.00,10076.00,69.83,130.25,194.10,28253.15
Rice,BruneiDarussalam,1982,1596.00,2366.00,14825.00,,2.00,,16557.00,6899.00,71.63,134.50,200.63,26694.72
Rice,BruneiDarussalam,1983,1694.00,2676.00,15797.00,,,,20763.00,8303.00,73.40,138.73,207.52,23268.69
Rice,BruneiDarussalam,1984,2100.00,3270.00,15571.00,,,,17707.00,7072.00,75.18,143.04,214.68,22129.56
Rice,BruneiDarussalam,1985,873.00,1082.00,12394.00,,,,18138.00,6432.00,77.01,147.50,222.12,19923.98
Rice,BruneiDarussalam,1986,721.00,1540.00,21359.00,,42.00,14.00,21884.00,7953.00,78.89,152.09,229.82,11741.87
Rice,BruneiDarussalam,1987,1016.00,1080.00,10630.00,,,,26410.00,14281.00,80.81,156.82,237.71,13039.86
Rice,BruneiDarussalam,1988,890.00,1930.00,21685.00,,,,10639.00,10051.00,82.77,161.69,245.73,12002.71
Rice,BruneiDarussalam,1989,700.00,1560.00,22286.00,,,,20000.00,12300.00,84.78,166.73,253.82,13033.75
Rice,BruneiDarussalam,1990,600.00,930.00,15500.00,,,,30000.00,15500.00,86.85,171.93,261.93,14892.27
Rice,BruneiDarussalam,1991,1600.00,1300.00,8125.00,,,,21327.00,8434.00,88.98,177.30,269.86,15197.15
Rice,BruneiDarussalam,1992,1400.00,1100.00,7857.00,,,,28000.00,12500.00,90.20,183.77,277.42,16714.02
Rice,BruneiDarussalam,1993,1500.00,1200.00,8000.00,,,,28000.00,11600.00,91.28,190.48,284.71,15979.01
Rice,BruneiDarussalam,1994,1500.00,1200.00,8000.00,,,,19334.00,9837.00,92.28,197.24,291.94,15513.86
Rice,BruneiDarussalam,1995,1000.00,800.00,8000.00,1947.00,,,21826.00,10877.00,93.19,204.01,299.10,17537.53
Rice,BruneiDarussalam,1996,900.00,700.00,7778.00,2099.00,,,22297.00,11150.00,93.98,210.72,306.20,18511.62
