Item,Area,Year,AreaHarvested,Production,Yield,Price,ExportQuantity,ExportValue,ImportQuantity,ImportValue,RuralPopulation,UrbanPopulation,TotalPopulation,GrossNationalIncome
Soyabeans,BruneiDarussalam,1961,,,,,,,40.00,6.00,46.88,38.71,89.56,
Soyabeans,BruneiDarussalam,1962,,,,,,,40.00,8.00,47.38,42.14,93.84,
Soyabeans,BruneiDarussalam,1963,,,,,,,40.00,9.00,47.80,45.78,98.28,
Soyabeans,BruneiDarussalam,1964,,,,,,,40.00,11.00,48.17,49.68,102.90,
Soyabeans,BruneiDarussalam,1965,,,,,,,40.00,11.00,48.52,53.90,107.69,
Soyabeans,BruneiDarussalam,1966,,,,,,,49.00,10.00,48.86,58.45,112.60,
Soyabeans,BruneiDarussalam,1967,,,,,,,70.00,13.00,49.16,63.34,117.63,
Soyabeans,BruneiDarussalam,1968,,,,,,,69.00,15.00,49.40,68.55,122.76,
Soyabeans,BruneiDarussalam,1969,,,,,,,54.00,11.00,49.58,74.08,128.01,
Soyabeans,BruneiDarussalam,1970,,,,,,,73.00,15.00,49.66,79.92,133.34,1686.78
Soyabeans,BruneiDarussalam,1971,,,,,,,134.00,27.00,49.66,86.07,138.67,1789.11
Soyabeans,BruneiDarussalam,1972,,,,,,,127.00,27.00,51.52,90.55,143.89,2364.01
Soyabeans,BruneiDarussalam,1973,,,,,,,128.00,43.00,53.65,94.91,149.07,3649.15
Soyabeans,BruneiDarussalam,1974,,,,,,,114.00,48.00,55.78,99.33,154.31,8738.11
Soyabeans,BruneiDarussalam,1975,,,,,,,116.00,52.00,57.89,103.78,159.65,9190.99
Soyabeans,BruneiDarussalam,1976,,,,,,,163.00,71.00,59.98,108.24,165.06,10827.98
Soyabeans,BruneiDarussalam,1977,,,,,,,178.00,76.00,62.05,112.72,170.56,12759.54
Soyabeans,BruneiDarussalam,1978,,,,,,,560.00,191.00,64.08,117.18,176.18,13842.09
Soyabeans,BruneiDarussalam,1979,,,,,,,535.00,210.00,66.06,121.60,181.95,19354.47
Soyabeans,BruneiDarussalam,1980,,,,,,,358.00,151.00,67.98,125.97,187.92,32941.99
Soyabeans,BruneiDarussalam,1981,,,,,,,259.00,125.00,69.83,130.25,194.10,28253.15
Soyabeans,BruneiDarussalam,1982,,,,,,,197.00,88.00,71.63,134.50,200.63,26694.72
Soyabeans,BruneiDarussalam,1983,,,,,,,296.00,117.00,73.40,138.73,207.52,23268.69
Soyabeans,BruneiDarussalam,1984,,,,,,,659.00,279.00,75.18,143.04,214.68,22129.56
Soyabeans,BruneiDarussalam,1985,,,,,,,2164.00,568.00,77.01,147.50,222.12,19923.98
Soyabeans,BruneiDarussalam,1986,,,,,,,436.00,542.00,78.89,152.09,229.82,11741.87
Soyabeans,BruneiDarussalam,1987,,,,,,,200.00,80.00,80.81,156.82,237.71,13039.86
Soyabeans,BruneiDarussalam,1988,,,,,,,3000.00,1068.00,82.77,161.69,245.73,12002.71
Soyabeans,BruneiDarussalam,1989,,,,,,,300.00,140.00,84.78,166.73,253.82,13033.75
Soyabeans,BruneiDarussalam,1990,,,,,,,300.00,150.00,86.85,171.93,261.93,14892.27
Soyabeans,BruneiDarussalam,1991,,,,,,,250.00,115.00,88.98,177.30,269.86,15197.15
Soyabeans,BruneiDarussalam,1992,,,,,,,260.00,110.00,90.20,183.77,277.42,16714.02
Soyabeans,BruneiDarussalam,1993,,,,,,,270.00,140.00,91.28,190.48,284.71,15979.01
Soyabeans,BruneiDarussalam,1994,,,,,,,260.00,164.00,92.28,197.24,291.94,15513.86
Soyabeans,BruneiDarussalam,1995,,,,,,,200.00,100.00,93.19,204.01,299.10,17537.53
Soyabeans,BruneiDarussalam,1996,,,,,,,240.00,140.00,93.98,210.72,306.20,18511.62
Soyabeans,BruneiDarussalam,1997,,,,,,,161.00,98.00,94.65,217.39,313.22,18383.94
Soyabeans,BruneiDarussalam,1998,,,,,135.00,28.00,667.00,276.00,95.22,224.00,320.15,14016.90
Soyabeans,BruneiDarussalam,1999,,,,,,,430.00,160.00,95.70,230.59,327.05,15583.48
Soyabeans,BruneiDarussalam,2000,,,,,,,270.00,140.00,96.10,237.15,333.93,19913.72
Soyabeans,BruneiDarussalam,2001,,,,,,,470.00,230.00,96.42,243.70,340.75,18213.46
Soyabeans,BruneiDarussalam,2002,,,,,16.00,1.00,690.00,190.00,96.97,249.90,347.46,18634.31
Soyabeans,BruneiDarussalam,2003,,,,,,,148.00,81.00,97.46,255.93,354.05,20522.59
Soyabeans,BruneiDarussalam,2004,,,,,,,255.00,160.00,97.81,261.71,360.46,24198.92
Soyabeans,BruneiDarussalam,2005,,,,,,,307.00,148.00,98.00,267.16,366.72,28799.57
Soyabeans,BruneiDarussalam,2006,,,,,,,249.00,137.00,98.01,272.24,372.81,34092.23
Soyabeans,BruneiDarussalam,2007,,,,,,,237.00,118.00,97.87,276.99,378.75,35830.30
Soyabeans,BruneiDarussalam,2008,,,,,,,133.00,127.00,97.65,281.60,384.57,41471.73
Soyabeans,BruneiDarussalam,2009,,,,,,,1743.00,852.00,97.45,286.32,390.31,30468.80
Soyabeans,BruneiDarussalam,2010,,,,,,,366.00,272.00,97.32,291.34,396.05,34356.16
Soyabeans,BruneiDarussalam,2011,,,,,,,249.00,208.00,97.28,296.73,401.51,44898.02
Soyabeans,BruneiDarussalam,2012,,,,,,,631.00,635.00,97.31,302.43,406.63,45720.04
Soyabeans,BruneiDarussalam,2013,,,,,,,727.00,803.00,97.39,308.33,411.70,43463.14
Soyabeans,BruneiDarussalam,2014,,,,,57.00,50.00,795.46,778.00,97.44,314.26,416.66,40999.22
Soyabeans,BruneiDarussalam,2015,,,,,12.04,11.00,727.94,589.00,97.44,320.10,421.44,32225.17
Soyabeans,BruneiDarussalam,2016,,,,,6.24,10.00,601.37,464.00,97.38,325.82,425.99,28721.86
Soyabeans,BruneiDarussalam,2017,,,,,,,601.72,538.00,97.26,331.43,430.28,29861.27
Soyabeans,BruneiDarussalam,2018,,,,,1.30,11.00,620.84,505.00,97.11,336.97,434.27,31433.56
Soyabeans,BruneiDarussalam,2019,,,,,121.50,60.00,901.55,612.00,96.91,342.43,438.05,31572.63
Soyabeans,BruneiDarussalam,2020,,,,,,,913.80,649.00,96.68,347.84,441.73,27998.34
Soyabeans,BruneiDarussalam,2021,,,,,165.00,65.00,10312.32,5989.00,96.42,353.19,445.37,31650.24
Soyabeans,BruneiDarussalam,2022,,,,,2.00,2.00,14500.45,9510.00,,,,
Soyabeans,BruneiDarussalam,2023,,,,,,,,,,,,
Soyabeans,Cambodia,1961,14000.00,9175.00,6554.00,,7060.00,338.00,,,5268.49,604.52,5664.65,
Soyabeans,Cambodia,1962,15000.00,9626.00,6417.00,,3520.00,228.00,,,5405.61,622.95,5788.85,
Soyabeans,Cambodia,1963,14000.00,11300.00,8071.00,,6650.00,487.00,,,5534.67,649.08,5913.68,
Soyabeans,Cambodia,1964,12000.00,8000.00,6667.00,,4070.00,362.00,,,5656.49,675.09,6040.85,
Soyabeans,Cambodia,1965,7600.00,5100.00,6711.00,,8510.00,954.00,,,5766.81,700.39,6170.73,
Soyabeans,Cambodia,1966,8100.00,7300.00,9012.00,,670.00,87.00,,,5860.44,724.32,6299.23,
